year,阿鲁巴,阿富汗,安哥拉,阿尔巴尼亚,安道尔共和国,阿拉伯联合酋长国,阿根廷,亚美尼亚,美属萨摩亚,安提瓜和巴布达,澳大利亚,奥地利,阿塞拜疆,布隆迪,比利时,贝宁,布基纳法索,孟加拉国,保加利亚,巴林,巴哈马,波斯尼亚和黑塞哥维那,白俄罗斯,伯利兹,百慕大,玻利维亚,巴西,巴巴多斯,文莱达鲁萨兰国,不丹,博茨瓦纳,中非共和国,加拿大,瑞士,智利,中国,科特迪瓦,喀麦隆,刚果（金）,刚果（布）,哥伦比亚,科摩罗,佛得角,哥斯达黎加,古巴,库拉索,开曼群岛,塞浦路斯,捷克共和国,德国,吉布提,多米尼克,丹麦,多米尼加共和国,阿尔及利亚,厄瓜多尔,埃及,厄立特里亚,西班牙,爱沙尼亚,埃塞俄比亚,芬兰,斐济,法国,法罗群岛,密克罗尼西亚联邦,加蓬,英国,格鲁吉亚,加纳,直布罗陀,几内亚,冈比亚,几内亚比绍共和国,赤道几内亚,希腊,格林纳达,格陵兰,危地马拉,关岛,圭亚那,中国香港,洪都拉斯,克罗地亚,海地,匈牙利,印度尼西亚,马恩岛,印度,爱尔兰,伊朗,伊拉克,冰岛,以色列,意大利,牙买加,约旦,日本,哈萨克斯坦,肯尼亚,吉尔吉斯斯坦,柬埔寨,基里巴斯,圣基茨和尼维斯,大韩民国,科威特,老挝,黎巴嫩,利比里亚,利比亚,圣卢西亚,列支敦士登,斯里兰卡,莱索托,立陶宛,卢森堡,拉脱维亚,中国澳门,圣马丁（法属）,摩洛哥,摩纳哥,摩尔多瓦,马达加斯加,马尔代夫,墨西哥,马绍尔群岛,马其顿王国,马里,马耳他,缅甸,黑山,蒙古,北马里亚纳群岛,莫桑比克,毛里塔尼亚,毛里求斯,马拉维,马来西亚,纳米比亚,新喀里多尼亚,尼日尔,尼日利亚,尼加拉瓜,荷兰,挪威,尼泊尔,瑙魯,新西兰,阿曼,巴基斯坦,巴拿马,秘鲁,菲律宾,帕劳,巴布亚新几内亚,波兰,波多黎各,朝鲜,葡萄牙,巴拉圭,法属波利尼西亚,卡塔尔,罗马尼亚,俄罗斯,卢旺达,沙特阿拉伯,苏丹,塞内加尔,新加坡,所罗门群岛,塞拉利昂,萨尔瓦多,圣马力诺,索马里,塞尔维亚,南苏丹,圣多美和普林西比,苏里南,斯洛伐克共和国,斯洛文尼亚,瑞典,斯威士兰,圣马丁(荷属),塞舌尔,叙利亚,特克斯科斯群岛,乍得,多哥,泰国,塔吉克斯坦,土库曼斯坦,东帝汶,汤加,特立尼达和多巴哥,突尼斯,土耳其,图瓦卢,坦桑尼亚,乌干达,乌克兰,乌拉圭,美国,乌兹别克斯坦,圣文森特和格林纳丁斯,委内瑞拉玻利瓦尔共和国,英屬維爾京群島,美属维京群岛,越南,瓦努阿图,萨摩亚,科索沃,也门,南非,赞比亚,津巴布韦
1960,,537777811.1,,,,,,,,,18573188487,6592693841,,195999990,11658722591,226195579.4,330442817.2,4274893913,,,169803921.6,,,28071888.56,84466654.08,563110051.9,15165569913,,,,30412308.99,112155598.9,41093453545,9522746719,4110000000,59716467625,546203561.6,618740988,3359404118,131731862.6,4040948154,,,507513830,,,,,,,,,6248946880,672399700,2723648552,1010325138,,,12072126075,,,5224102196,112328422.1,62651474947,,,141468977.6,72328047042,,1217230038,,,,,,4446528165,,,1043599900,,170215248.2,1320796652,335650000,,,,,,36535925031,1939329775,4199134390,1684121535,248434097,2598500000,40385288344,699050679,,44307342950,,791265458.8,,637142865.7,,12366563.61,3957873926,,,,190495600,,,,1409873950,34579308.41,,703925705.9,,,,2037150716,,,673081724.1,,13040000000,,,,,,,,,,92609222.69,,162956740.9,1916241997,,,449526872.6,4196092258,,12276734172,5163271598,508334414,,5485854792,,3707055901,537147100,2571908062,6684568805,,230496033,,1691900000,,3193200404,,,,,,119000024,,1307333333,792824707.3,704462302.4,,322009471.6,,,,,,,93850000,,,14842870293,35076158.48,,12012025.25,857704431.7,,313582727.6,121128073.1,2760747472,,,,,535670127.7,,13995067818,,,423008385.7,,1242289239,5.43E+11,,13066557.78,8736939394,,24200000,,,,,,7575248495,713000000,1052990400
1961,,548888895.6,,,,,,,,,19648336880,7311749633,,202999992,12400145222,235668222.4,350247237.1,4817580184,,,190098039.2,,,29964370.71,89249986.7,612518906.8,15236854859,,,,32902336.64,123134584.5,40767969454,10712712465,4609727273,50056868958,618245639.2,657597382.8,3086746857,151675739.2,4552914000,,,490325181.6,,,,,,,,,6933842099,654100200,2434776646,979108806.8,,,13834300571,,,5921659485,116987784.9,68346741504,,,167637907.4,76694360636,,1302674264,,,,,,5016048786,,,1076699900,,185848451.3,1383681651,356200000,,,,,,38709096076,2088012282,4426949095,1831700364,253885656.3,3138500000,44842760293,748028839.4,,53508617739,,792959472.1,,642857134.3,,12483229.31,2417237754,,,,183920900,,,,1444327731,35699286.01,,704145671.4,,,,2025689537,,,699161943.9,,14160000000,,,,,,,,,,107726181.2,,174576508.5,1901868548,,,485785231.7,4467200336,,13493833740,5632460937,531959561.6,,5670064168,,4054599181,599026300,2899654840,7256966966,,244832035,,1865100000,,3417516639,,,,,,122000016,,1419333333,836493109.2,764308114.5,,327834680.6,,,,,,,98400000,,,16147160123,43025199.5,,11592024.36,945244992.2,,333975336.6,126396469.7,3034043574,,,,,584961208.7,,8022222222,,,441524109,,1547388781,5.63E+11,,13999883.33,9058121212,,25700000,,,,,,7972840543,696285714.3,1096646600
1962,,546666677.8,,,,,24450604878,,,,19888005376,7756110210,,213500006,13264015675,236434906.8,379567178.3,5081413340,,,212254902,,,31856922.86,94149985.97,669722541.3,19926293839,,,,35643207.63,124482748.9,41978852041,11879982759,5416272727,47209359006,645284344.7,699373701.2,3779841429,166521239.9,4968603736,,,479180824.3,,,,,,,,,7812968114,824100000,2001468868,958598195,,,16138545209,,,6340580854,122906435,76313782252,,,182796536.5,80601939635,,1382515590,,,,,9122751.453,5327573509,,,1143600000,,194948375.4,1612346412,387750000,,,,,,41599070242,2260349684,4693566416,1954634836,284916516.2,2510000000,50383891899,777712445.8,,60723018684,,868111400,,660000008.6,,12541562.15,2813933900,,,,191861800,,,,1434156379,41859162.82,,741509480.8,,,,2379606422,,,739286906.9,,15200000000,,,,,,,,,,111148585.6,,183116337.7,2001502679,,,531736599.9,4909302954,,14647057370,6066976683,574091101.2,,6077496268,,4233095590,652120900,3286773188,4399827768,,261184037.4,,2094400000,,3668222358,,,,,,125000008,,1541666667,857425916.2,825885273.7,,342721579.8,,,,,,,103500000,,,17511477311,45927061.46,,12642026.57,1110565864,,357635713.9,132237441.6,3308912797,,,,,619319197.3,,8922222222,,,449012578.6,,1710004407,6.05E+11,,14524878.96,10022000000,,36900000,,,,,,8497830043,693142857.1,1117601600
1963,,751111191.1,,,,,18272123664,,,,21501847911,8374175258,,232749998,14260017387,253927646.5,394040749.1,5319458351,,,237745098,,,33749405.01,96366652.31,721142957.3,23021477292,,,,38091150.57,129379097.9,44657169109,13063643796,5668187500,50706799903,761047045.8,723624365.3,6213185743,172233430.9,4838841456,,,511902136.8,,,,,,,,,8316692386,940799900,2703014867,1038389642,,,19074913948,,,6885920329,129454728.6,85551113767,,,154480244.2,85443766670,,1540797517,,,,,10840095.13,5949478035,,,1262800000,,175756868.7,1935298266,410200000,,,,,,47776000900,2430843768,4928628018,1978437693,340061650.1,2992333333,57710743060,826690466.2,,69498131797,,926589348.6,,728571437.1,,12833226.39,3988246109,,,,200229600,,,,1240672269,47039059.22,,791140595.8,,,,2657247327,,,759345863,,16960000000,,,,,,,,,,113797356.8,,190816183.7,2510126748,,,586294879.5,5165489010,,15891241386,6510239503,496947904.4,,6638937283,,4540529105,722784500,3600957771,4875309866,,275968039.5,,2333600000,,3905734460,,,,,,128000000,,1568333333,886387156.1,917222004.4,,348546952.1,,,,,,,110000000,,,18954132366,54128377.43,,13923029.26,1200447429,,371767002.7,143255784.5,3540403457,,,,,678235373,,10355555556,,,516147798.7,,1539681491,6.39E+11,,13708219.1,10823878788,,41400000,,,,,,9423211536,718714285.7,1159511700
1964,,800000044.4,,,,,25605249382,,,,23758539590,9169983886,,260750008,15960106681,269818988.3,410321785.6,5386054619,,,266666666.7,,,36193826.12,107566650.6,812543072.5,21211892260,,,,41613969.05,142025069.5,48882938810,14480556572,5982347826,59708343489,921063266.4,782384527.8,2881545273,185693724.8,5992169467,,,542578367.2,,,,,,,,,9506678763,1025599900,2909351793,1156150890,,,21343844644,,,7766655086,140032741.5,94906593388,,,215679855.3,93387598814,,1731296119,,,,,12712471.4,6680298251,,,1299099900,,194773376.9,2206466461,457000000,,,,,,55726873084,2766608946,5379845647,2340521143,434267936.9,3405333333,63175417019,897931401.4,,81749006382,,998759333.6,,782857128.6,,13416554.86,3458518494,,,,218929100,,,,1309747899,51938961.22,,903158753.9,,,,2798339769,,,802482182.9,,20080000000,,,,,,,,,,151897168.1,,194736105.3,2674441396,,,582816396.2,5552822484,,18699380731,7159202706,496098775.3,,7274144351,,5130407728,776137500,4356913870,5271404668,,305312043.7,,2570500000,,4235608178,,,,,,129999994,,1611333333,939145851.2,893734483.2,,371848114.7,,,,,,,120850000,,,21137242561,64979280.41,,15393032.35,1339494290,,392247517.6,166104067.6,3889129942,,,,,711893367.6,,11177777778,,,589056603.8,,1975701816,6.86E+11,,14758210.35,9111000000,,53800000,,,,,,10373792524,839428571.4,1217138000
1965,,1006666638,,,,,28344705967,,,,25931235301,9994070616,,158994963,17371457608,289908720.6,422916848.4,5906636557,,,300392156.9,,,40069930.07,114339049,908874537,21790035117,,114040245.7,,45790869.75,150574816.3,53909570342,15346741670,6026593750,70436266147,919771356.4,814139855.8,4043901818,198318063.9,5790247619,,,592981162.3,,,,,,,,,10678897387,888100000,3136258897,2387048255,5111621014,,24756958695,,,8589340019,147084750,1.02E+11,,,226474285.6,1.01E+11,,2053462872,,,,,64748333.33,7600579093,,,1331399900,,213235294.1,2435078534,508650000,,,,,,58760424670,2945704143,6197319930,,523694949.4,3663333333,67978153851,972140557.2,599831979.8,90950278258,,997919320,,868571428.6,,13593932.32,3120307808,2097451694,,,229260800,,,,1698319328,54878902.42,,921600736.3,,,,2948325264,,,833563472.2,,21840000000,,,,,,,,,,172767213.3,,229455410.9,2956356984,,159594493.5,673383510.2,5874422512,,21000586933,8058681060,735267082.3,,5654463586,63287594.51,5884712096,852485300,5166861068,5784398977,,344159480.3,,2881500000,,4687464055,400129691.3,176534589.6,,,,148799980,,1679333333,955834893.3,974193126.9,,359379856.2,877720000,,,,,,138650000,,,23260320646,70278594.43,,15603032.8,1472036551,,416926303,187300336.4,4388937649,,,,,736568861.9,991047619,11944444444,,,884873949.6,,1890769326,7.44E+11,,15108207.43,9496244444,,66500000,,,,,,11334173317,1082857143,1311435800
1966,,1399999967,,,,,28630474728,,,,27261731437,10887682273,,165444571.4,18651883472,302925280.8,433889831.6,6439687598,,,340000000,,,44405594.41,134173373.8,994044553.9,27062716578,,132758395.4,,51464435.15,157930041.9,60358632035,16480058705,7072641026,76720285970,1024103034,853268771.1,4532660182,220613582.4,5452762963,,,647305630.2,,,,,,,,,11721248101,983900000,3039834559,2429309514,5339520613,,28721062242,,,9208524505,150603925.5,1.11E+11,,,245849781.7,1.07E+11,,2126300573,,,44212353.7,,69110000,8455611129,,,1390700000,,228705882.4,2489845017,549950000,,,,,,45253641303,3104034393,6789938673,,628893310.4,3980000000,73654870011,1096738065,658078969.5,1.06E+11,,1164519673,,914285714.3,,14469078.18,3928171298,2391486978,,,244459500,,,,1751470588,56698866.02,,968440149.5,,,,2876395613,,,900264583.7,,24320000000,,,,,,,,,,180340653.8,,260394792.1,3143538482,,164206537.6,702296079.9,6366792664,,22867203317,8696460205,906811943.8,,5863733231,67768132.18,6466610752,928833000,6113607728,6371459304,,390973233.3,,3170500000,,5135387846,421700442.1,215659455,,,,124525702.9,,1723000000,984942988.1,1095910101,,375479849.8,929520000,,,,,,171100000,,,25302033132,76858462.83,,16443034.56,1342287557,,432794922.5,216136263.9,5279230817,,,,,723735635.5,1040952381,14122222222,,,925770308.1,,1809183975,8.15E+11,,16099865.83,9984400000,,84100000,,,,,,12354752905,1264285714,1281749500
1967,,1673333418,,,,,24256667553,,,,30389741292,11579431669,,178297142.9,19992040788,306222000.4,450753993.2,7253575399,,,390196078.4,,,47379310.34,155102984.6,1084059815,30591834054,,139030445.6,,58646443.51,163820538.9,64768831262,17740013179,7013196078,72881631327,1082922892,934079050.3,3384063372,237397428.3,5727195020,,,699456618.9,,,,,,,,,12788479692,1034800000,3370843066,2553596092,5579168510,,31647119228,,,9368954010,162625885.9,1.19E+11,,,271543680.3,1.11E+11,,1747187539,,,46695363.16,,72317446.93,9136711288,,,1453500000,,250176470.6,2692474989,598100000,,,,5667756645,,49466168891,3343636773,7555383690,,621225962.2,4030000000,81133120065,1148025407,631755810.7,1.24E+11,,1232559506,,962857134.3,,16742338.25,4854576371,2441893027,,,261024300,,,,1859465021,59260814.78,,974721762.5,,,,3046339295,,,956436931.1,,26560000000,,,275494520.1,,,,,,,191221777.8,,269814968.2,3188945512,,180036768.9,665586872.8,5203135937,,25087562181,9514496703,841974025.5,,5961418094,107152720.2,7403821903,1034376400,6204253759,6809134236,,441706910.1,,3532700000,,5740241166,451524124.6,220984369.1,,,,159560018,,1865666667,984605369.3,1237423233,25203524.03,348795303,976200000,,,,,,198450000,,,27463409202,74758504.83,,16632032.81,1580229795,,449826323,231706475.5,5638461442,,,,,761981474,1085714286,15666666667,,,967647058.8,,1597721080,8.62E+11,,15835177.93,10356422222,,115400000,,,,,,13777124458,1368000000,1397002000
1968,,1373333367,,,,,26436857247,,,,32657632434,12440625313,,183200000,21376353113,326323097.4,460442864.2,7483685474,,,444901960.8,,,44910179.64,150000000,908874537,33875881876,,160819286.6,,66248256.62,191767437,70759031842,18942729779,7167086957,70846535056,1281281246,1053077155,3909780539,251247458,5918455410,,,773841494.3,,,,,,,,,13196541952,1079100000,3852115817,2582180794,6109112150,,31475548481,,,8823033880,166952937.1,1.30E+11,,,294468564.5,1.05E+11,,1666910166,,,41160658.57,,67514285.71,9915140546,,,1610500000,,229750000,2716964388,646800000,,,,7076465295,,52377324284,3278584478,8623172960,2896947634,474399471.6,4619000000,87942231678,1083883355,561187342.5,1.47E+11,,1353295458,,1065714249,,14600000,6117260076,2663119574,,,276820700,,,,1801344538,61444771.1,,1066447131,,,,3271415868,,,1031669636,,29360000000,,,343771964.7,,,,,,,210695183.8,,245169806.8,3330393310,,215507164,641214226.8,5200895982,,27817605743,10159934137,772228643.4,,5180597621,188864890.8,8090088555,1112791100,5736083835,7591603053,,485160824.3,,3941700000,,6354262628,477012512.7,259590076.3,,,,172200018,4187777711,1947333333,1034293645,1425029400,28084252.76,329860091.9,1009760100,,,,,,220600000,,,29143383491,79798404.03,,16074027.35,1753746370,,453980096.7,241956910.7,6081009428,,,,,758899950,1214666667,17500000000,,,1037815126,,1593675330,9.43E+11,,15350000,11343444444,,173800000,,,,,,14894302114,1605857143,1479599900
1969,,1408888922,,,,,31256284544,,,,36620002240,13582798556,,190205714.3,23710735895,330748211.5,478298781.5,8471006101,,,528137254.9,,,47305389.22,164900000,964615698.7,37458898244,,161211289.7,,77356914.08,188039191.3,77887510242,20524886616,8377093023,79705906247,1361360157,1152418515,5032434970,265040036.1,6405427874,,,853630203.8,,,,,,,,,15009384585,1230500000,4257218772,3112166848,6861743341,,36038711600,,,10070766721,182182067.7,1.41E+11,,,318124701,1.13E+11,,1962051319,,,45168722.7,,67225714.29,11266091571,,,1715399900,,249300000,3189740055,668000050,,,,8337423313,,57668330026,3787077344,9743089606,3008120975,414709311.4,5329333333,97085082807,1191287652,698963875.7,1.72E+11,,1458379415,,978873232.4,,15850000,7675805108,2769532344,,,306961800,,,,1965546218,65966680.67,,1234878981,,,,3651615453,,,1056391055,,32480000000,,,339913833.1,,,,,,,199643444.6,,265810632.4,3664575983,,263108834.5,625867984.4,6634187316,,31503868835,11063065083,788641965.4,,5761588762,239980801.5,8632927257,1221305700,6420909790,8408229699,,551237316.6,,4460700000,,6969025826,512728946,242943776.9,,,,188700037,4485777644,2144333333,983621024.1,1659055272,28606411.4,408690163.5,1049400000,,,,,,233450000,,,31649203886,105417891.6,,16452027.99,2245011572,,471635620.9,267732446.4,6695336567,,,,,779200000,1289904762,19466666667,,,1169047619,,2004435484,1.02E+12,,16650000,11795044444,,211300000,,,,,,16780064399,1965714286,1747998800
1970,,1748886596,,,78619206.09,,31584210366,,,,41261059469,15373005769,,242732571.4,26849148286,333627758.2,458404330.1,8992721809,,,538423153.7,,,53233532.93,186300000,1017171717,42327600098,,179080099.3,,96245114.46,189106554.5,87896095224,,9126309735,92602973434,1455482990,1160002261,4877684910,274960699.9,7198360460,,,984830158.5,5693005200,,,,,2.15E+11,,,17075466667,1485400100,4863487493,2862504170,7682491836,,40881655099,,,11365953567,219878482.2,1.48E+11,,,323802475.5,1.31E+11,,2215029450,,,52296836.75,78733594.84,66331428.57,13139862500,,69520026.67,1904000000,,267800000,3800766536,723000000,,,,9150684932,,61589800520,4401259686,10976245154,3281713806,518902045.5,7045666667,1.13E+11,1404776071,639596751.6,2.13E+11,,1603447357,,718401157.7,14295279.54,16300000,8999227202,2873984878,,,323099700,,,90098330.67,2296470588,68738625.23,,1509155063,,,,3956328426,293073868,,1111859570,,35520000000,,,359772363.3,250721821.6,,,,,,209348253.6,,290531621.3,3864170913,,358815681.9,649916621.2,12545849083,,37677621538,12814123115,865975308.6,,6623527495,256299496,10027088849,1351006400,7432223177,6687204834,,645537126.2,,5034700000,,8109032775,548758098.4,254035999.2,301791301.8,,,219900006,5377333333,2437666667,1024832915,1919508689,,434410373.8,1132920000,,,,,,247150000,,,37555366021,112137757.2,,18432031.36,2140383696,,469266736.6,253976626.2,7086538438,,,,,821850000,1439238095,17086956522,,,1260084034,,2137096774,1.08E+12,,18450000,12848755556,,219000000,,,,,,18418031639,1825285714,1884206300
1971,,1831108971,,,89409820.36,,33293199095,,,,45138313361,17858485957,,252842285.7,29981290025,335072975.2,482411279,8751842840,,,573400000,,,59207317.07,211100000,1095454545,49204456700,,197523179.2,,126957494.4,201450768.4,99271961478,,10884114754,99800958648,1584128262,1233991075,5594770359,322128019.3,7820380971,,,1077152902,6914658400,,,,,2.49E+11,,,19085681968,1666400000,5077222367,2754220263,8266003571,,46492797365,,,12536710287,247749327.7,1.66E+11,,,381687073.1,1.48E+11,,2417107708,,,55728608.97,78540057.14,64946954.76,14591755682,,88570952.87,1984800000,,282050000,4476001946,731000000,,,,9333536360,,66452561866,5104355500,13731801565,3865346535,660321818.2,6709000000,1.24E+11,1539865514,678241389,2.40E+11,,1778391289,,969911421.4,15278632.48,19624746.45,9889961112,3880370402,,,341543100,,,104888628.2,2369308600,76482102.91,,1572310772,,,,4356633663,327651488,,1199507630,,39200000000,,,430096738.4,264579879.8,,,,,,227051055,,365386929.8,4244340334,,413634335.3,693573704.4,9181769912,,44010160464,14583114840,882765471.6,,8066935949,301010587.1,10602058190,1523917200,8289582884,7408305736,,717716130.5,,5646800000,,9202512367,609047284.9,296613496.9,387700084.2,,,222952578.2,7184853348,2656000000,1058120427,2262544100,50056882.82,419549425.1,1186120000,,,,,,270650000,,,40980345656,136465324.4,,21965951.72,2589851693,,501866730.7,286537525,7375000024,,,,,896754316.7,1685217059,16256619964,,,1417787115,,2807258065,1.17E+12,,20051648.18,14625295455,,257000000,,,,,,20334172260,1687000000,2178716300
1972,,1595555476,,,113408231.9,,34733000536,,,,51954439252,22059612417,,246804571.4,37408591330,410331901,578595584,6288245867,,,590900000,,,66062500,235400000,1257615645,58539008786,,270818555.8,,165258093.9,230317908,1.13E+11,,11853817308,1.14E+11,1849400600,1430951332,6173712814,410669262.9,8671358733,,,1238251696,8135150892,,,,,2.99E+11,,,23232411898,1987300000,6761786387,3185987235,8763960703,,58971806627,,,14754136507,316650509,2.03E+11,,,430508357.7,1.70E+11,,2112292945,,,59161545,87702828.57,65429198.24,16885506818,,106101175.7,2101300000,,285380952.4,5710107420,802999950,,,,10997590361,,70509913049,6325627655,17153463264,4113848002,827213233.6,8771500000,1.45E+11,1875048860,788574629,3.18E+11,,2107279157,,505549441.4,18936526.95,22944849.12,10842220469,4451200973,,,368098000,,,124941925,2553936348,80915831.92,,1968733022,,,,5074117545,402460333.2,,1341590682,,45200000000,,,486617332.4,295118249.3,,,,,,265009395.1,,406062874.3,5043268549,,505892512.9,742779659.5,12274416018,,54008338918,17358610850,1024098805,,9820126398,366857738.4,9309109764,1673411700,9189413409,8017468688,,858802035.9,,6328900000,,11240223128,697291727.8,325843254.7,510259940.7,,,246457838.3,9664157499,2882000000,1280328245,2719900351,40606712.05,465381090,1263720000,,,,,,287600000,,,48263914959,146741251.5,,30645121.01,3059682162,,585427545.7,335677636.9,8177884553,,,,,1083381044,2237476420,20431095406,,,1491596639,,2189418001,1.28E+12,,27585488.99,15922863636,,307100000,,,,,,21358137115,1910714286,2677729400
1973,,1733333264,,,150820102.8,,52544000117,,,,63721973094,29515467988,,304339839.6,47999363072,504376035.7,674773821.2,8086725729,,,670900000,,,78343558.28,269500000,1263018491,79279057731,,433092003.6,,244129088,271183061.4,1.31E+11,,16836261173,1.39E+11,2508421235,1758727395,7870239461,541973362.5,10315760000,,,1528916185,9987709650,,,,,3.97E+11,,,30730638896,2344699900,8715105930,3891755552,9616725366,,78425934894,,,19486826980,425963359.4,2.64E+11,,,722780701.1,1.93E+11,,2465492958,,,75187969.92,89374237.29,81203226.91,22347844649,,140153748.2,2569200100,,307047619,8030117556,912499950,,,,16273253012,,84374541630,7490132549,27081698249,5134367778,1137337734,11321750000,1.75E+11,1905917553,943700547.8,4.32E+11,,2502142444,,702899156,31710657.73,24196018.38,13841885921,5408293999,,,386968300,,,165930611.7,2875625000,121181556.2,,2701874664,,,,6242177798,523552815.1,,1653062347,,55280000000,,,563683660.3,345602025.4,,,,,,333731874.4,,444281703.9,7662996767,,542294864.8,946385105,15162871287,,70924006306,22534253703,972101725,,13024906080,483033932.1,6324884129,1913793400,10994381895,10082885603,,1299105241,,7002400000,,15092052330,889357059.5,431254103,793884368,,,290746157.1,14947391140,3571666667,1471913474,3693760000,55272108.84,575230234.4,1442320000,,,,,,305300000,,,58567384059,221902017.3,,36896278.22,3239488105,,647199482.8,406479906.2,10838587358,,,,,1308799459,2730787476,25724381625,,,1702521008,,3964295673,1.43E+12,,30165373.62,19466279070,,351600000,,,,,,29293948127,2268714286,3309353600
1974,,2155555498,,,186558696.3,,72436777342,,,,88809137804,35189299985,,345263492.1,56333010460,554654787,751133642.6,12512460520,,,632400000,,,103216374.3,312600000,2100249875,1.05E+11,441595558.6,1073577086,,306033848.4,281398668.2,1.60E+11,,16210404184,1.44E+11,3070151901,2255496995,9596960180,585364635.4,12370029584,,,1666544754,11405957317,,,,,4.44E+11,,,34160363583,2925600000,13209713643,6599259421,9015166840,,97009800115,,,24867278714,558589870.9,2.86E+11,,,1544216004,2.06E+11,,2894409938,,,95797533.46,98775328.95,94159862.71,25351305682,,169918948.6,3161499900,,433954545.5,9388663646,1034500000,,,,25802409639,,98198276857,7906317253,46209092073,11516762614,1492743372,16334250000,1.99E+11,2375096249,1197454207,4.80E+11,,2973309272,,588443893.7,85637174.37,31514856.31,19482038223,13004774557,,,486955000,,,193983720.5,3574586466,150846210.4,,3295861019,,,,7675408486,563939670.7,,1917508190,,72000000000,,,538747268.3,376094108.5,,,,,,414772351.9,,548621017.6,9496074114,,637400199.1,1026137112,24846641318,,86129928027,27145693810,1217953547,,14069222284,1645917776,8773030424,2188307600,13858441211,13781139970,,1467346060,,7684800000,,17514112076,1199618980,555337985.7,2401403227,,,308458423.2,45412957746,4595000000,1658273721,5216773826,84539332.28,648590642.9,1665880000,,,,,,368600000,,,65082581295,264311994.1,,43134498.69,5159557176,,652532796.1,560437742.6,13703000530,,,,,2042031901,3545933562,35599913836,,,2100142653,,4090209682,1.55E+12,,32924215.86,28985627907,,395400000,,,,,,36806475350,3121833333,3982161400
1975,,2366666616,,,220127246.4,14720672507,52438647922,,,,97147343985,40059206763,,420986666.7,66029748931,676870140.3,939972703.5,19448348073,,,596200000,,,118066298.3,345000000,2404697651,1.24E+11,475761121.2,1168304306,,355172413.8,378660016.3,1.74E+11,,7622217352,1.63E+11,3893839190,2752771044,10237343174,767102679,13098633902,,,1960863466,13027415244,,,489914760.7,,4.89E+11,,,40474400473,3599300100,15557934268,7731677257,11437965585,,1.14E+11,,,29494515597,684268280.8,3.61E+11,,,2157592937,2.42E+11,,2810106383,,,115182522.1,108985740.2,104295643.4,28525872476,,211194305.7,3645900000,,494791666.7,10048022370,1124000000,,,,30463855422,,97159222024,9495166028,51776222350,13458516763,1386032921,15353833333,2.27E+11,2860411286,1363039400,5.22E+11,,3259344936,,,55081816.99,33364055.3,21704752066,12024138276,,,577549300,,,246387479.2,3791298146,149560513.9,,3233431611,,,,8984824183,711922994.2,,2283049233,,88000000000,,,830710615.2,474620439.6,,,,,,475916514.7,,613220652.9,9298800799,,816647865.8,1048690932,27778934625,,98970041042,32877805200,1575789254,,12995256381,2096699189,11340000242,2435304100,16877163792,14893969288,,1356591177,,8198300000,,19349512941,1351889403,690319754.9,2512784033,,,571863295.7,46773368206,5598000000,2235746645,5633386680,74617096.48,679335901.1,1884120100,,,,,,465000000,,,81716751698,288302907.4,,47803145.96,6826980767,,864602103.3,617321669.4,14882747955,,,,32506741.72,2442667573,4328610490,44633707243,,,2359555556,,3538283322,1.69E+12,,33237164.72,31303581395,,399800000,,,,,,38114942529,2618666667,4371300700
1976,,2555555567,,,227281024.6,19213022691,51169499891,,,,1.05E+11,42959976068,,448412753.6,71494539498,698408244.4,976547572.2,10117113333,,,642100000,,,96905829.6,386300000,2732083958,1.53E+11,515665506.1,1423061357,,372010119.6,451152450,2.07E+11,,10341925249,1.54E+11,4662053708,3076592431,9648583225,754549600.5,15341403660,,,2412555426,13789579903,,,576090073.7,,5.18E+11,,,44575847808,3951399900,17728347375,9091924305,13360476862,,1.18E+11,,,31873171719,694552411.7,3.72E+11,,,3009409971,2.33E+11,,2765254237,,,112189468.5,112386489,103653049.9,31152840485,,240780413.6,4365300200,,454440000,12876366009,1347999950,,,,37269156627,,1.01E+11,9465078404,68055295080,17754825601,1644755723,15176875000,2.24E+11,2966010230,1708734940,5.86E+11,,3474542392,,,41109617.5,30095602.29,29779338843,13131668947,,,596675700,,,272493879,3591319857,147654093.8,,3544268025,,,,9584323309,735339911.9,,2181844194,,89025974026,,,939227993.7,527936988.8,,,,,,524407931.9,706991274.4,670317634.2,11050125905,,798310509.6,1064517600,36308883249,,1.08E+11,35942270686,1452792989,,13612626656,2560220035,13338484980,2588106000,15947709380,17097563270,,1511856584,,8968600000,,20334835544,1540820245,732286143.3,3284301332,,,637754162.1,64005665722,6979333333,2266860656,6326445410,83099107.91,594895672.3,2328280100,,,,,,505500000,,,88102107647,272539098.4,,49278979.55,7633528921,,866044961,619375134.2,16985211146,,,,30036416.96,2500410584,4507929104,51280134554,,,2447300000,,3667161241,1.88E+12,,32792480.97,36187023256,,440000000,,,,,,36601885925,2746714286,4318372000
